collection_name,contract,collection_slug
Boss Beauties,0xb5c747561a185a146f83cfff25bdfd2455b31ff4,Boss_Beauties
Sad Girls Bar,0x335eeef8e93a7a757d9e7912044d9cd264e2b2d8,Sad_Girls_Bar
Loopy Donuts,0x2106c00ac7da0a3430ae667879139e832307aeaa,Loopy_Donuts
WinterBears,0xc8bcbe0e8ae36d8f9238cd320ef6de88784b1734,WinterBears
Notorious Frogs,0xa4d5fb4ff0fa1565fb7d8f5db88e4c0f2f445046,Notorious_Frogs
Galactic Apes,0x12d2d1bed91c24f878f37e66bd829ce7197e4d14,Galactic_Apes
Bastard Penguins,0x350b4cdd07cc5836e30086b993d27983465ec014,Bastard_Penguins
Avarik Saga,0x127e479ac59a1ea76afdedf830fecc2909aa4cae,Avarik_Saga
Capsule,0xfcb1315c4273954f74cb16d5b663dbf479eec62e,Capsule
KingFrogs,0xd668a2e001f3385b8bbc5a8682ac3c0d83c19122,KingFrogs
The Humanoids ,0x3a5051566b2241285be871f650c445a88a970edd,The_Humanoids_
Yakuza Cats Society,0x454cbc099079dc38b145e37e982e524af3279c44,Yakuza_Cats_Society
NiftyDegen,0x986aea67c7d6a15036e18678065eb663fc5be883,NiftyDegen
Gutter Dogs,0x6e9da81ce622fb65abf6a8d8040e460ff2543add,Gutter_Dogs
Fly Frogs,0x31d4da52c12542ac3d6aadba5ed26a3a563a86dc,Fly_Frogs
Outkast,0x1c5ed03149b1fd5efe12828a660c7b892c111ba4,Outkast
The Surreals,0xa406489360a47af2c74fc1004316a64e469646a5,The_Surreals
Woodie,0x134460d32fc66a6d84487c20dcd9fdcf92316017,Woodie
WannaPanda,0xe4a3cbfa0b27db2def20bfba80905515b0855e54,WannaPanda
Dirtybird Flight Club,0xa45ef87f51b84dbd0d5b003d288b16d3d044fe6f,Dirtybird_Flight_Club
ETHEREALS,0xfc778be06c9a58f8f3e5e99216efbb28f750bc98,ETHEREALS
DarkHorizon,0xd46814b736db3c6feed576a59e3ff140075c9e0a,DarkHorizon
Deez Nuts,0xb1469271ff094d7fb2710b0a69a80a01ec5dbf24,Deez_Nuts
MadRabbitsRiotClub,0x57fbb364041d860995ed610579d70727ac51e470,MadRabbitsRiotClub
Superlative Secret Society,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,Superlative_Secret_Society
FoxFam,0x7cba74d0b16c8e18a9e48d3b7404d7739bb24f23,FoxFam
MekaVerse,0x9a534628b4062e123ce7ee2222ec20b86e16ca8f,MekaVerse
Metasaurs,0xf7143ba42d40eaeb49b88dac0067e54af042e963,Metasaurs
MetaHelmet,0xbd888e50969748805cdf77bcf283febe493f190c,MetaHelmet
BullsOnTheBlock Evo,0x6069a6c32cf691f5982febae4faf8a6f3ab2f0f6,BullsOnTheBlock_Evo
The Heart Project,0xce50f3ca1f1dbd6fa042666bc0e369565dda457d,The_Heart_Project
STARCATS,0x376588763a9b0ead13b43db3f6fdb3be70eb4b1c,STARCATS
Jungle Freaks,0x7e6bc952d4b4bd814853301bee48e99891424de0,Jungle_Freaks
Gawds,0x3769c5700da07fe5b8eee86be97e061f961ae340,Gawds
Party Ape Billionaire Club,0x5df340b5d1618c543ac81837da1c2d2b17b3b5d8,Party_Ape_Billionaire_Club
SamuraiDoge,0x8af7abb1c69bf0a8d3b49b252fff2843596504a2,SamuraiDoge
ALPACADABRAZ,0x3db5463a9e2d04334192c6f2dd4b72def4751a61,ALPACADABRAZ
OctoHedz,0x6e5a65b5f9dd7b1b08ff212e210dcd642de0db8b,OctoHedz
